Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p01,0,False,60,523,1010,1631,0,1882,78,0,0,0,0,0,0,142.0,142.0,142,142,142,0.5302,0.0998,0.0021,0.0929,0.0,0.0,0.0702,0.0456,0.8458
agricola-opt18-strips-p10,0,False,77,754,1483,2367,0,2652,110,0,0,0,0,0,0,154.0,154.0,154,154,154,0.6324,0.2435,0.0058,0.0606,0.0,0.0,0.0372,0.0504,1.0352
agricola-opt18-strips-p03,0,False,66,723,1373,2200,0,2434,91,23,0,24,1,24,0,143.0,204.0,204,262,204,0.7456,0.3872,0.0035,0.0573,0.1959,0.0001,0.6319,0.0913,1.9246
agricola-opt18-strips-p09,0,False,80,895,1747,2770,0,3009,86,0,0,0,0,0,0,150.0,150.0,150,150,150,0.8722,0.6503,0.0054,0.053,0.0,0.0,0.056,0.0429,1.6903
agricola-opt18-strips-p02,0,False,63,612,1177,1890,0,2116,58,0,0,0,0,0,0,142.0,142.0,142,142,142,0.6474,0.2674,0.0029,0.3859,0.0,0.0,0.0458,0.039,1.3931
agricola-opt18-strips-p16,0,False,83,909,1796,2851,0,3173,128,0,0,1,0,1,0,163.0,163.0,222,222,222,0.2803,0.3059,0.0081,0.0031,0.0013,0.0,0.0491,0.2456,0.8973
agricola-opt18-strips-p19,0,False,86,992,1982,3128,0,3489,128,0,0,0,0,0,0,226.0,226.0,226,226,226,0.3337,0.3854,0.0117,0.0037,0.0,0.0,0.0744,0.0455,0.8605
agricola-opt18-strips-p18,0,False,89,1197,2377,3726,0,4001,133,0,0,1,0,1,0,163.0,163.0,222,222,222,0.6268,1.0779,0.0109,0.0036,0.0017,0.0,0.0687,0.6232,2.4235
agricola-opt18-strips-p17,0,False,86,1065,2118,3332,0,3592,127,0,0,0,0,0,0,162.0,162.0,162,162,162,0.4276,0.5248,0.0104,0.0035,0.0,0.0,0.0222,0.0288,1.0258
agricola-opt18-strips-p20,0,False,89,1152,2310,3619,0,3907,128,0,0,0,0,0,0,166.0,166.0,166,166,166,0.4723,0.637,0.008,0.0043,0.0,0.0,0.0207,0.032,1.1835
agricola-sat18-strips-p01,0,False,84,1459,2877,4458,0,4561,73,0,0,0,0,0,0,382.0,382.0,382,382,382,1.3454,8.7518,0.0082,0.0044,0.0,0.0,0.0211,0.0385,10.1948
agricola-sat18-strips-p04,0,False,101,2084,4116,6354,0,6251,107,3,0,1,8,1,0,575.0,575.0,576,754,576,2.1989,8.869,0.0203,0.0053,0.0034,0.016,0.272,2.3939,13.7977
agricola-sat18-strips-p02,0,False,91,1731,3406,5270,0,5200,70,0,0,0,0,0,0,386.0,386.0,386,386,386,1.6709,6.916,0.0125,0.0045,0.0,0.0,0.0645,0.0465,8.7459
agricola-sat18-strips-p03,0,False,98,1852,3672,5670,0,5635,85,0,0,0,0,0,0,390.0,390.0,390,390,390,2.0061,12.842,0.0191,0.005,0.0,0.0,0.0852,0.0488,15.0449
