Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p07,0,,74,697,1347,2166,0,2443,47,106,0,7,7,2,7,181.0,181.0,212.0,270.0,212.0,0.1392,0.34008,0.00356,0.10549,0.0766299999999999,0.00865,0.31824,0.65351,2.03093
agricola-opt18-strips-p01,0,,60,523,1010,0,0,0,0,0,0,0,0,0,0,0.0,0.0,142.0,142.0,142.0,0.0927699999999999,0.1862899999999999,0.0020099999999999,0.0,0.0,0.0,0.0,0.0,0.75289
agricola-opt18-strips-p10,0,,77,754,1483,0,0,0,0,0,0,0,0,0,0,0.0,0.0,154.0,154.0,154.0,0.15734,0.42984,0.0049299999999999,0.0,0.0,0.0,0.0,0.0,1.04665
agricola-opt18-strips-p08,0,,78,799,1567,0,0,0,0,0,0,0,0,0,0,0.0,0.0,150.0,150.0,150.0,0.22121,0.5581900000000001,0.00378,0.0,0.0,0.0,0.0,0.0,1.24275
agricola-opt18-strips-p03,0,,66,723,1373,2200,0,2434,80,67,0,20,3,20,0,143.0,181.157143,204.0,262.0,204.0,0.21843,0.49803,0.00296,0.31013,0.19343,0.00197,0.6681900000000001,0.29619,2.4496599999999997
agricola-opt18-strips-p04,0,,67,592,1146,0,0,0,0,0,0,0,0,0,0,0.0,0.0,146.0,146.0,146.0,0.34245,0.25618,0.00259,0.0,0.0,0.0,0.0,0.0,1.05955
agricola-opt18-strips-p09,0,,80,895,1747,0,0,0,0,0,0,0,0,0,0,0.0,0.0,150.0,150.0,150.0,0.33116,0.83927,0.00445,0.0,0.0,0.0,0.0,0.0,1.6251099999999998
agricola-opt18-strips-p06,0,,72,796,1523,2434,0,2648,33,0,0,0,0,0,0,206.0,206.0,206.0,206.0,206.0,0.26836,0.73876,0.00373,0.05736,0.0,0.0,0.06121,0.03633,1.62626
agricola-opt18-strips-p05,0,,69,728,1401,2241,0,2466,48,48,0,3,34,3,0,207.0,207.0,208.0,266.0,208.0,0.18405,0.44417,0.0040199999999999,0.29822,0.0172,0.04174,0.08224,0.54814,2.01875
agricola-opt18-strips-p12,0,,84,1002,1962,3100,0,3339,42,0,0,0,0,0,0,214.0,214.0,214.0,214.0,214.0,0.3481,1.00491,0.00744,0.05743,0.0,0.0,0.06452,0.2648999999999999,2.20287
agricola-opt18-strips-p11,0,,80,911,1773,2817,0,3047,61,17,0,5,2,5,0,215.0,216.0,216.0,274.0,216.0,0.51130095,0.64442063,0.00602241,0.0563624499999999,0.04766807,0.0001314699999999,0.53568662,0.15404493,2.35480196
agricola-opt18-strips-p02,0,,63,612,1177,0,0,0,0,0,0,0,0,0,0,0.0,0.0,142.0,142.0,142.0,0.1478499999999999,0.3292,0.0025099999999999,0.0,0.0,0.0,0.0,0.0,0.92283
agricola-opt18-strips-p13,0,,81,852,1670,2660,0,2959,84,25,0,5,2,5,0,219.0,220.0,220.0,278.0,220.0,0.16824692,0.46920675,0.00616606,0.30205324,0.04911322,0.00013844,0.4554783599999999,0.1055892899999999,1.95954192
agricola-opt18-strips-p14,0,,84,978,1945,0,0,0,0,0,0,0,0,0,0,0.0,0.0,158.0,158.0,158.0,0.26688,0.73514,0.00561,0.0,0.0,0.0,0.0,0.0,1.46586
agricola-opt18-strips-p15,0,,87,1081,2133,0,0,0,0,0,0,0,0,0,0,0.0,0.0,158.0,158.0,158.0,0.37971,1.1488699999999998,0.00643,0.0,0.0,0.0,0.0,0.0,2.00563
agricola-opt18-strips-p20,0,,89,1152,2310,0,0,0,0,0,0,0,0,0,0,0.0,0.0,166.0,166.0,166.0,0.31909,0.98103,0.00687,0.0,0.0,0.0,0.0,0.0,1.31326
agricola-opt18-strips-p19,0,,86,992,1982,3128,0,3489,66,0,0,0,0,0,0,226.0,226.0,226.0,226.0,226.0,0.20848,0.6323799999999999,0.0095299999999999,0.05906,0.0,0.0,0.06105,0.0537599999999999,1.03454
agricola-opt18-strips-p16,0,,83,909,1796,2851,0,3173,77,38,0,6,0,6,0,164.319149,202.74359,222.0,222.0,222.0,0.1955,0.55784,0.00687,0.07445,0.10679,0.0,0.3254499999999999,0.23147,1.39815
agricola-sat18-strips-p10,0,,120,3271,6635,10108,0,9740,98,0,0,0,0,0,0,598.0,598.0,598.0,598.0,598.0,2.0942,10.35054,0.0367899999999999,0.06808,0.0,0.0,0.1589799999999999,0.2089,12.94981
