Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p01,0,False,60,523,1010,1631,0,1882,78,0,0,0,0,0,0,,0.0,142.0,142,142,0.5266,0.1011,0.0023,0.1018,0.0,0.0,0.0,0.1074,0.8438
agricola-opt18-strips-p02,0,False,63,612,1177,1890,0,2116,58,0,0,0,0,0,0,,0.0,142.0,142,142,0.6521,0.2618,0.0029,0.0508,0.0,0.0,0.0,0.0747,1.0476
agricola-opt18-strips-p03,0,False,66,723,1373,2200,0,2434,75,2,0,0,3,0,0,,0.0,204.0,262,204,0.6774,0.3491,0.0032,0.0473,0.0,0.001,0.0,0.6346,1.7188
agricola-opt18-strips-p04,0,False,67,592,1146,1847,0,2096,77,0,0,0,0,0,0,,0.0,146.0,146,146,0.587,0.1614,0.0035,0.0568,0.0,0.0,0.0,0.077,0.8903
agricola-opt18-strips-p05,0,False,69,728,1401,2241,0,2466,81,15,0,0,20,0,23,,0.0,208.0,266,208,0.6982,0.2669,0.0048,0.0506,0.0,0.0102,0.0,0.5169,1.5438
agricola-opt18-strips-p06,0,False,72,796,1523,2434,0,2648,69,0,0,0,0,0,0,,0.0,206.0,206,206,1.0389,0.5635,0.0052,0.0523,0.0,0.0,0.0,0.0932,1.762
agricola-opt18-strips-p07,0,False,74,697,1347,2166,0,2443,98,0,0,0,1,0,0,,0.0,212.0,270,212,0.587,0.1896,0.0038,0.0481,0.0,0.0001,0.0,0.361,1.1946
agricola-opt18-strips-p08,0,False,78,799,1567,2491,0,2737,94,0,0,0,0,0,0,,0.0,150.0,150,150,0.692,0.3254,0.0042,0.0473,0.0,0.0,0.0,0.0773,1.1532
agricola-opt18-strips-p09,0,False,80,895,1747,2770,0,3009,86,0,0,0,0,0,0,,0.0,150.0,150,150,0.823,0.5889,0.0049,0.0464,0.0,0.0,0.0,0.0794,1.5526
agricola-opt18-strips-p10,0,False,77,754,1483,2367,0,2652,110,0,0,0,0,0,0,,0.0,154.0,154,154,0.8149,0.2188,0.0052,0.047,0.0,0.0,0.0,0.0755,1.1669
agricola-opt18-strips-p11,0,False,80,911,1773,2817,0,3047,95,24,0,0,28,0,22,,0.0,216.0,274,216,0.7262,0.3622,0.0069,0.0501,0.0,0.0297,0.0,0.7635,1.9167
agricola-opt18-strips-p12,0,False,84,1002,1962,3100,0,3339,89,0,0,0,0,0,0,,0.0,214.0,214,214,0.9566,0.8516,0.0094,0.0527,0.0,0.0,0.0,0.0925,1.9742
agricola-opt18-strips-p13,0,False,81,852,1670,2660,0,2959,125,70,0,0,75,0,92,,0.0,220.0,278,220,0.6731,0.2649,0.0075,0.0502,0.0,0.1029,0.0,1.1456,2.1471
agricola-opt18-strips-p14,0,False,84,978,1945,3064,0,3334,123,0,0,0,0,0,0,,0.0,158.0,158,158,0.747,0.4325,0.007,0.0478,0.0,0.0,0.0,0.0847,1.3275
agricola-opt18-strips-p15,0,False,87,1081,2133,3358,0,3596,103,0,0,0,0,0,0,,0.0,158.0,158,158,0.9528,0.9232,0.0091,0.0516,0.0,0.0,0.0,0.0952,2.0449
agricola-opt18-strips-p16,0,False,83,909,1796,2851,0,3173,128,0,0,0,0,0,0,,0.0,222.0,222,222,0.2801,0.2975,0.0072,0.0032,0.0,0.0,0.0,0.3965,0.9899
agricola-opt18-strips-p17,0,False,86,1065,2118,3332,0,3592,127,0,0,0,0,0,0,,0.0,162.0,162,162,0.4289,0.5128,0.0113,0.0032,0.0,0.0,0.0,0.0517,1.0166
agricola-opt18-strips-p18,0,False,89,1197,2377,3726,0,4001,133,0,0,0,0,0,0,,0.0,222.0,222,222,0.5745,0.9846,0.0095,0.0033,0.0,0.0,0.0,0.5832,2.1665
agricola-opt18-strips-p19,0,False,86,992,1982,3128,0,3489,128,0,0,0,0,0,0,,0.0,226.0,226,226,0.3057,0.3481,0.0113,0.0032,0.0,0.0,0.0,0.0613,0.7352
agricola-opt18-strips-p20,0,False,89,1152,2310,3619,0,3907,128,0,0,0,0,0,0,,0.0,166.0,166,166,0.4766,0.6216,0.0079,0.0039,0.0,0.0,0.0,0.0564,1.1754
agricola-sat18-strips-p01,0,False,84,1459,2877,4458,0,4561,73,0,0,0,0,0,0,,0.0,382.0,382,382,1.3445,9.011,0.0082,0.004,0.0,0.0,0.0,0.0658,10.4588
agricola-sat18-strips-p02,0,False,91,1731,3406,5270,0,5200,70,0,0,0,0,0,0,,0.0,386.0,386,386,1.5176,6.6319,0.013,0.0046,0.0,0.0,0.0,0.0801,8.276
agricola-sat18-strips-p03,0,False,98,1852,3672,5670,0,5635,85,0,0,0,0,0,0,,0.0,390.0,390,390,2.1043,12.5918,0.0196,0.0046,0.0,0.0,0.0,0.0849,14.8382
agricola-sat18-strips-p04,0,False,101,2084,4116,6354,0,6251,107,37,0,0,39,0,0,,0.0,576.0,754,576,2.1978,8.9693,0.0212,0.0052,0.0,0.1501,0.0,2.7457,13.9788
agricola-sat18-strips-p05,0,False,104,2292,4556,7010,0,6854,123,52,0,0,298,0,68,,0.0,580.0,758,580,2.4005,14.386,0.0308,0.0056,0.0,0.2597,0.0,5.0051,21.8702
agricola-sat18-strips-p06,0,False,107,2463,4953,7586,0,7376,129,0,0,0,0,0,0,,0.0,402.0,402,402,2.3998,10.1926,0.027,0.0061,0.0,0.0,0.0,0.1151,12.7862
agricola-sat18-strips-p07,0,False,110,2654,5330,8162,0,7899,130,0,0,0,0,0,0,,0.0,586.0,586,586,2.8277,16.5657,0.0418,0.0071,0.0,0.0,0.0,0.2326,19.7235
agricola-sat18-strips-p08,0,False,114,2853,5747,8786,0,8482,150,0,0,0,0,0,0,,0.0,590.0,590,590,3.3004,17.8089,0.0386,0.0069,0.0,0.0,0.0,3.2805,24.4875
agricola-sat18-strips-p09,0,False,116,3332,6726,10252,0,9668,159,0,0,0,0,0,0,,0.0,594.0,594,594,2.9855,12.9571,0.0613,0.0084,0.0,0.0,0.0,0.4429,16.5066
agricola-sat18-strips-p10,0,False,120,3271,6635,10108,0,9740,167,0,0,0,0,0,0,,0.0,598.0,598,598,3.4527,14.9839,0.0502,0.0084,0.0,0.0,0.0,0.4858,19.0399
agricola-sat18-strips-p11,0,False,55,636,1222,1963,0,2201,66,8,0,0,11,0,1125,,0.0,283.0,503,283,0.1985,0.2209,0.005,0.0023,0.0,0.0048,0.0,0.9406,1.3711
agricola-sat18-strips-p12,0,False,60,725,1402,2243,0,2466,90,48,0,0,70,0,0,,0.0,287.0,507,287,0.2489,0.265,0.0065,0.0028,0.0,0.0467,0.0,0.4894,1.0176
agricola-sat18-strips-p13,0,False,68,802,1582,2513,0,2758,84,5,0,0,6,0,0,,0.0,276.0,330,276,0.3063,0.3299,0.0096,0.0028,0.0,0.0059,0.0,0.4558,1.1108
agricola-sat18-strips-p14,0,False,73,996,1974,3110,0,3361,97,4,0,0,5,0,0,,0.0,279.0,335,279,0.5089,0.6875,0.0149,0.0033,0.0,0.005,0.0,0.258,1.4829
agricola-sat18-strips-p15,0,False,75,1090,2167,3405,0,3660,99,70,0,0,138,0,0,,0.0,288.0,402,288,0.5657,0.832,0.017,0.0034,0.0,0.2464,0.0,0.6928,2.122
agricola-sat18-strips-p16,0,False,78,1221,2421,3798,0,4063,135,22,0,0,24,0,0,,0.0,297.0,526,297,0.6187,0.9352,0.0215,0.0034,0.0,0.0801,0.0,0.3316,1.9229
agricola-sat18-strips-p17,0,False,82,1396,2800,4363,0,4672,125,27,0,0,29,0,3,,0.0,415.0,591,415,0.9269,1.6101,0.0248,0.0042,0.0,0.1232,0.0,0.6316,3.2154
agricola-sat18-strips-p18,0,False,86,1501,3023,4699,0,5025,130,11,0,0,16,0,0,,0.0,420.0,595,420,1.0309,2.0828,0.0351,0.0045,0.0,0.089,0.0,0.8444,4.0166
agricola-sat18-strips-p19,0,False,88,1604,3226,5013,0,5369,135,14,0,0,19,0,637,,0.0,428.0,689,428,1.1126,2.0753,0.0338,0.0047,0.0,0.0615,0.0,1.6867,4.9331
agricola-sat18-strips-p20,0,False,91,1746,3512,5449,0,5819,191,198,0,0,255,0,77,,0.0,433.0,783,433,1.1658,2.3315,0.0409,0.0048,0.0,2.4082,0.0,3.0322,6.5971
airport-p01-airport1-p1,0,True,0,3,27,62,0,91,0,0,0,0,1,0,0,,0.0,8.0,8,8,0.0045,0.0001,0.0,0.0012,0.0,0.0,0.0,0.0013,0.0076
airport-p02-airport1-p1,0,True,0,4,31,68,0,101,3,0,0,0,0,0,0,,0.0,9.0,9,9,0.0051,0.0002,0.0,0.001,0.0,0.0,0.0,0.003,0.0096
airport-p03-airport1-p2,0,True,0,7,57,126,0,194,3,0,0,0,0,0,0,,0.0,17.0,17,17,0.0063,0.0003,0.0,0.0011,0.0,0.0,0.0,0.0032,0.0113
airport-p04-airport2-p1,0,True,0,7,65,150,0,226,0,0,0,0,1,0,0,,0.0,20.0,20,20,0.0078,0.0004,0.0,0.0015,0.0,0.0,0.0,0.0014,0.0115
airport-p05-airport2-p1,0,True,1,10,71,160,0,303,3,0,0,0,0,0,0,,0.0,21.0,21,21,0.0062,0.0005,0.0001,0.0015,0.0,0.0,0.0,0.0031,0.0118
airport-p06-airport2-p2,0,True,1,17,136,305,0,527,3,0,0,0,0,0,0,,0.0,41.0,41,41,0.0063,0.0012,0.0002,0.002,0.0,0.0,0.0,0.0034,0.0135
airport-p07-airport2-p2,0,True,1,17,135,302,0,527,3,0,0,0,0,0,0,,0.0,41.0,41,41,0.0065,0.0012,0.0002,0.0013,0.0,0.0,0.0,0.0033,0.0129
