Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p01,0,False,60,523,1010,1631,0,1882,0,3,0,0,8,0,0,,0.0,142.0,1e+20,142,0.56,0.1032,0.0,0.1095,0.0,0.0014,0.0,0.2232,0.9986
agricola-opt18-strips-p02,0,False,63,612,1177,1890,0,2116,0,4,0,0,8,0,0,,0.0,142.0,1e+20,142,0.6147,0.2642,0.0,0.0564,0.0,0.002,0.0,0.1779,1.1178
agricola-opt18-strips-p03,0,False,66,723,1373,2200,0,2434,0,120,0,0,144,0,1782,,0.0,204.0,1e+20,204,0.7465,0.3811,0.0,0.054,0.0,0.0594,0.0,1.7881,2.9762
agricola-opt18-strips-p04,0,False,67,592,1146,1847,0,2096,0,4,0,0,8,0,0,,0.0,146.0,1e+20,146,0.5866,0.1623,0.0,0.0587,0.0,0.0021,0.0,0.1586,0.9691
agricola-opt18-strips-p05,0,False,69,728,1401,2241,0,2466,0,59,0,0,171,0,0,,0.0,208.0,1e+20,208,0.9439,0.2736,0.0,0.0676,0.0,0.0391,0.0,0.6892,1.9795
agricola-opt18-strips-p06,0,False,72,796,1523,2434,0,2648,0,33,0,0,39,0,73,,0.0,206.0,1e+20,206,0.8134,0.5766,0.0,0.0557,0.0,0.0319,0.0,0.7894,2.2433
agricola-opt18-strips-p07,0,False,74,697,1347,2166,0,2443,0,19,0,0,25,0,438,,0.0,212.0,1e+20,212,0.6431,0.2047,0.0,0.3418,0.0,0.0179,0.0,0.8907,2.084
agricola-opt18-strips-p08,0,False,78,799,1567,2491,0,2737,0,3,0,0,6,0,0,,0.0,150.0,1e+20,150,0.7428,0.3586,0.0,0.0562,0.0,0.0057,0.0,0.4169,1.5806
agricola-opt18-strips-p09,0,False,80,895,1747,2770,0,3009,0,3,0,0,6,0,0,,0.0,150.0,1e+20,150,0.8984,0.6493,0.0,0.0569,0.0,0.0049,0.0,0.2317,1.8458
agricola-opt18-strips-p10,0,False,77,754,1483,2367,0,2652,0,4,0,0,7,0,0,,0.0,154.0,1e+20,154,0.6589,0.2371,0.0,0.0585,0.0,0.0059,0.0,0.2132,1.172
agricola-opt18-strips-p11,0,False,80,911,1773,2817,0,3047,0,102,0,0,135,0,142,,0.0,216.0,1e+20,216,0.7889,0.3975,0.0,0.0568,0.0,0.1237,0.0,0.8531,2.1034
