Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p01,0,False,60,523,1010,1631,0,1882,0,0,0,0,0,0,0,,0.0,142.0,142,142,0.1426,0.1019,0.0023,0.0023,0.0,0.0,0.0,0.0359,0.2877
agricola-opt18-strips-p02,0,False,63,612,1177,1890,0,2116,0,0,0,0,0,0,0,,0.0,142.0,142,142,0.2204,0.2643,0.0029,0.0025,0.0,0.0,0.0,0.0384,0.5326
agricola-opt18-strips-p03,0,False,66,723,1373,2200,0,2434,0,8,0,0,11,0,1004,,0.0,204.0,262,204,0.3342,0.3825,0.0034,0.0028,0.0,0.0043,0.0,1.4543,2.1836
agricola-opt18-strips-p04,0,False,67,592,1146,1847,0,2096,0,0,0,0,0,0,0,,0.0,146.0,146,146,0.1515,0.1626,0.003,0.0022,0.0,0.0,0.0,0.036,0.3583
agricola-opt18-strips-p05,0,False,69,728,1401,2241,0,2466,0,23,0,0,28,0,1189,,0.0,208.0,266,208,0.2671,0.2743,0.0048,0.0034,0.0,0.0164,0.0,1.5594,2.1141
agricola-opt18-strips-p06,0,False,72,796,1523,2434,0,2648,0,0,0,0,0,0,31,,0.0,206.0,206,206,0.3955,0.5766,0.0045,0.0026,0.0,0.0,0.0,0.6175,1.6048
agricola-opt18-strips-p07,0,False,74,697,1347,2166,0,2443,0,32,0,0,35,0,746,,0.0,212.0,270,212,0.2124,0.2054,0.0043,0.0028,0.0,0.0255,0.0,1.1848,1.6135
agricola-opt18-strips-p08,0,False,78,799,1567,2491,0,2737,0,0,0,0,0,0,0,,0.0,150.0,150,150,0.3233,0.3565,0.0045,0.0027,0.0,0.0,0.0,0.05,0.7434
agricola-opt18-strips-p09,0,False,80,895,1747,2770,0,3009,0,0,0,0,0,0,0,,0.0,150.0,150,150,0.4832,0.6508,0.0062,0.0031,0.0,0.0,0.0,0.0611,1.2142
agricola-opt18-strips-p10,0,False,77,754,1483,2367,0,2652,0,0,0,0,0,0,0,,0.0,154.0,154,154,0.2347,0.2393,0.0069,0.0026,0.0,0.0,0.0,0.0423,0.53
agricola-opt18-strips-p11,0,False,80,911,1773,2817,0,3047,0,45,0,0,49,0,1151,,0.0,216.0,274,216,0.7328,0.3998,0.0076,0.0578,0.0,0.0606,0.0,1.3129,2.519
agricola-opt18-strips-p12,0,False,84,1002,1962,3100,0,3339,0,0,0,0,0,0,33,,0.0,214.0,214,214,0.9328,0.8574,0.0094,0.0574,0.0,0.0,0.0,0.8497,2.7188
