Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p01,0,False,60,523,1010,1631,0,1882,78,0,0,0,0,0,0,,0.0,142.0,142,142,0.8022,0.1009,0.0023,0.0543,0.0,0.0,0.0,0.3288,1.2926
agricola-opt18-strips-p02,0,False,63,612,1177,1890,0,2116,58,0,0,0,0,0,0,,0.0,142.0,142,142,0.6451,0.265,0.0029,0.0562,0.0,0.0,0.0,0.0791,1.0538
agricola-opt18-strips-p03,0,False,66,723,1373,2200,0,2434,75,0,131,0,105,0,133,,0.0,204.0,262,204,0.7606,0.3869,0.0034,0.2931,0.0,0.0081,0.0,1.1657,2.618
agricola-opt18-strips-p04,0,False,67,592,1146,1847,0,2096,77,0,0,0,0,0,0,,0.0,146.0,146,146,0.6067,0.1612,0.003,0.1056,0.0,0.0,0.0,0.1025,0.9837
agricola-opt18-strips-p05,0,False,69,728,1401,2241,0,2466,81,0,81,0,53,0,259,,0.0,208.0,266,208,0.7293,0.2683,0.0055,0.0555,0.0,0.0046,0.0,0.78,1.8452
agricola-opt18-strips-p06,0,False,72,796,1523,2434,0,2648,69,0,0,0,0,0,0,,0.0,206.0,206,206,0.841,0.5714,0.0045,0.0546,0.0,0.0,0.0,0.3467,1.8274
agricola-opt18-strips-p07,0,False,74,697,1347,2166,0,2443,98,0,0,0,1,0,0,,0.0,212.0,270,212,0.666,0.2074,0.0042,0.3001,0.0,0.0001,0.0,0.3991,1.5833
agricola-opt18-strips-p08,0,False,78,799,1567,2491,0,2737,94,0,0,0,0,0,0,,0.0,150.0,150,150,0.7611,0.3526,0.0045,0.059,0.0,0.0,0.0,0.0855,1.2705
agricola-opt18-strips-p09,0,False,80,895,1747,2770,0,3009,86,0,0,0,0,0,0,,0.0,150.0,150,150,0.8884,0.6398,0.0054,0.0552,0.0,0.0,0.0,0.3713,1.9716
agricola-opt18-strips-p10,0,False,77,754,1483,2367,0,2652,110,0,0,0,0,0,0,,0.0,154.0,154,154,0.6612,0.2383,0.0068,0.0558,0.0,0.0,0.0,0.0852,1.0534
agricola-opt18-strips-p11,0,False,80,911,1773,2817,0,3047,95,0,95,0,48,0,0,,0.0,216.0,274,216,1.076,0.396,0.0074,0.0546,0.0,0.0052,0.0,0.8951,2.4375
agricola-opt18-strips-p12,0,False,84,1002,1962,3100,0,3339,89,0,0,0,0,0,0,,0.0,214.0,214,214,1.1705,0.8542,0.0084,0.0533,0.0,0.0,0.0,0.0918,2.1899
agricola-opt18-strips-p13,0,False,81,852,1670,2660,0,2959,125,0,689,0,415,0,545,,0.0,220.0,278,220,0.6935,0.2612,0.0075,0.0616,0.0,0.0514,0.0,1.4753,2.5051
agricola-opt18-strips-p14,0,False,84,978,1945,3064,0,3334,123,0,0,0,0,0,0,,0.0,158.0,158,158,1.1084,0.4667,0.0077,0.0531,0.0,0.0,0.0,0.094,1.7391
agricola-opt18-strips-p15,0,False,87,1081,2133,3358,0,3596,103,0,0,0,0,0,0,,0.0,158.0,158,158,1.0242,0.9229,0.0092,0.0552,0.0,0.0,0.0,0.3399,2.3644
agricola-opt18-strips-p16,0,False,83,909,1796,2851,0,3173,128,0,0,0,0,0,0,,0.0,222.0,222,222,0.2904,0.2985,0.008,0.003,0.0,0.0,0.0,0.3966,1.002
agricola-opt18-strips-p17,0,False,86,1065,2118,3332,0,3592,127,0,0,0,0,0,0,,0.0,162.0,162,162,0.6939,0.5103,0.0116,0.0053,0.0,0.0,0.0,0.0517,1.2815
agricola-opt18-strips-p18,0,False,89,1197,2377,3726,0,4001,133,0,0,0,0,0,0,,0.0,222.0,222,222,0.6291,1.0712,0.0099,0.0039,0.0,0.0,0.0,0.6303,2.3567
agricola-opt18-strips-p19,0,False,86,992,1982,3128,0,3489,128,0,0,0,0,0,0,,0.0,226.0,226,226,0.3091,0.3468,0.0118,0.0033,0.0,0.0,0.0,0.0606,0.7372
agricola-opt18-strips-p20,0,False,89,1152,2310,3619,0,3907,128,0,0,0,0,0,0,,0.0,166.0,166,166,0.4873,0.6256,0.0088,0.0039,0.0,0.0,0.0,0.056,1.1909
