Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p01,0,False,60,523,1010,1631,0,1882,0,0,3,0,8,0,0,,0.0,142.0,1e+20,142,0.5745,0.1037,0.0,0.3105,0.0,0.0006,0.0,0.2008,1.1922
agricola-opt18-strips-p02,0,False,63,612,1177,1890,0,2116,0,0,6,0,8,0,0,,0.0,142.0,1e+20,142,0.6613,0.2649,0.0,0.1,0.0,0.0008,0.0,0.2225,1.2528
agricola-opt18-strips-p03,0,False,66,723,1373,2200,0,2434,0,0,1089,0,711,0,1528,,0.0,204.0,1e+20,204,1.0095,0.3797,0.0,0.0555,0.0,0.0619,0.0,2.4961,3.9471
agricola-opt18-strips-p04,0,False,67,592,1146,1847,0,2096,0,0,5,0,8,0,0,,0.0,146.0,1e+20,146,0.5892,0.1622,0.0,0.0602,0.0,0.0007,0.0,0.1437,0.9583
agricola-opt18-strips-p05,0,False,69,728,1401,2241,0,2466,0,0,1265,0,677,0,1947,,0.0,208.0,1e+20,208,0.6954,0.2732,0.0,0.0534,0.0,0.0627,0.0,3.4769,4.5042
agricola-opt18-strips-p06,0,False,72,796,1523,2434,0,2648,0,0,85,0,41,0,33,,0.0,206.0,1e+20,206,1.0956,0.5814,0.0,0.0542,0.0,0.0038,0.0,0.987,2.7262
agricola-opt18-strips-p07,0,False,74,697,1347,2166,0,2443,0,0,719,0,416,0,1298,,0.0,212.0,1e+20,212,0.6541,0.2055,0.0,0.352,0.0,0.0399,0.0,1.3289,2.5447
agricola-opt18-strips-p08,0,False,78,799,1567,2491,0,2737,0,0,5,0,7,0,0,,0.0,150.0,1e+20,150,0.7456,0.3567,0.0,0.0562,0.0,0.0008,0.0,0.4506,1.6152
agricola-opt18-strips-p09,0,False,80,895,1747,2770,0,3009,0,0,20,0,15,0,0,,0.0,150.0,1e+20,150,0.912,0.6418,0.0,0.2735,0.0,0.0014,0.0,0.4836,2.3205
agricola-opt18-strips-p10,0,False,77,754,1483,2367,0,2652,0,0,10,0,7,0,0,,0.0,154.0,1e+20,154,0.5592,0.2197,0.0,0.052,0.0,0.0008,0.0,0.2107,1.0457
