Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p01,0,False,60,523,1010,1631,0,1882,0,0,0,0,0,0,0,,0.0,142.0,142,142,0.5085,0.0964,0.0021,0.0928,0.0,0.0,0.0,0.1095,0.8142
agricola-opt18-strips-p02,0,False,63,612,1177,1890,0,2116,0,0,0,0,0,0,0,,0.0,142.0,142,142,0.6287,0.264,0.0029,0.0604,0.0,0.0,0.0,0.0872,1.0487
agricola-opt18-strips-p03,0,False,66,723,1373,2200,0,2434,0,0,231,0,182,0,1752,,0.0,204.0,262,204,0.6867,0.3798,0.0039,0.0536,0.0,0.0143,0.0,1.9048,3.0368
agricola-opt18-strips-p04,0,False,67,592,1146,1847,0,2096,0,0,0,0,0,0,0,,0.0,146.0,146,146,0.5396,0.1638,0.0031,0.3714,0.0,0.0,0.0,0.0803,1.1632
agricola-opt18-strips-p05,0,False,69,728,1401,2241,0,2466,0,0,1300,0,685,0,2813,,0.0,208.0,266,208,0.6461,0.2715,0.0049,0.0619,0.0,0.0682,0.0,5.88,6.8724
agricola-opt18-strips-p06,0,False,72,796,1523,2434,0,2648,0,0,0,0,0,0,31,,0.0,206.0,206,206,0.7919,0.577,0.0045,0.0546,0.0,0.0,0.0,0.6581,2.0953
agricola-opt18-strips-p07,0,False,74,697,1347,2166,0,2443,0,0,218,0,191,0,1530,,0.0,212.0,270,212,0.6426,0.2074,0.0042,0.3094,0.0,0.0171,0.0,1.7215,2.8903
agricola-opt18-strips-p08,0,False,78,799,1567,2491,0,2737,0,0,0,0,0,0,0,,0.0,150.0,150,150,0.7335,0.3573,0.0046,0.0562,0.0,0.0,0.0,0.0939,1.2534
agricola-opt18-strips-p09,0,False,80,895,1747,2770,0,3009,0,0,0,0,0,0,0,,0.0,150.0,150,150,0.8488,0.5989,0.0056,0.05,0.0,0.0,0.0,0.1012,1.615
agricola-opt18-strips-p10,0,False,77,754,1483,2367,0,2652,0,0,0,0,0,0,0,,0.0,154.0,154,154,0.6602,0.241,0.0058,0.0557,0.0,0.0,0.0,0.0857,1.0542
agricola-opt18-strips-p11,0,False,80,911,1773,2817,0,3047,0,0,3771,0,1927,0,4448,,0.0,216.0,274,216,0.7625,0.3956,0.0076,0.0552,0.0,0.2475,0.0,8.6701,9.8996
agricola-opt18-strips-p12,0,False,84,1002,1962,3100,0,3339,0,0,0,0,0,0,33,,0.0,214.0,214,214,0.8924,0.8675,0.0083,0.0591,0.0,0.0,0.0,1.0616,2.9009
agricola-opt18-strips-p13,0,False,81,852,1670,2660,0,2959,0,0,4310,0,2000,0,4699,,0.0,220.0,278,220,0.6765,0.2614,0.0075,0.0562,0.0,0.2686,0.0,10.9847,11.9926
agricola-opt18-strips-p14,0,False,84,978,1945,3064,0,3334,0,0,0,0,0,0,0,,0.0,158.0,158,158,0.8224,0.4718,0.0069,0.0552,0.0,0.0,0.0,0.1236,1.4893
agricola-opt18-strips-p15,0,False,87,1081,2133,3358,0,3596,0,0,0,0,0,0,0,,0.0,158.0,158,158,1.007,0.931,0.0081,0.0602,0.0,0.0,0.0,0.1246,2.1434
agricola-opt18-strips-p16,0,False,83,909,1796,2851,0,3173,0,0,0,0,0,0,33,,0.0,222.0,222,222,0.2995,0.3226,0.0088,0.0032,0.0,0.0,0.0,0.4025,1.0422
agricola-opt18-strips-p17,0,False,86,1065,2118,3332,0,3592,0,0,0,0,0,0,0,,0.0,162.0,162,162,0.4183,0.5161,0.0104,0.0032,0.0,0.0,0.0,0.0736,1.0302
agricola-opt18-strips-p18,0,False,89,1197,2377,3726,0,4001,0,0,0,0,0,0,73,,0.0,222.0,222,222,0.5608,0.9836,0.0092,0.0033,0.0,0.0,0.0,0.917,2.4853
agricola-opt18-strips-p19,0,False,86,992,1982,3128,0,3489,0,0,0,0,0,0,19,,0.0,226.0,226,226,0.3041,0.348,0.0106,0.003,0.0,0.0,0.0,0.4946,1.1661
agricola-opt18-strips-p20,0,False,89,1152,2310,3619,0,3907,0,0,0,0,0,0,0,,0.0,166.0,166,166,0.5114,0.6864,0.0086,0.0036,0.0,0.0,0.0,0.3076,1.5278
agricola-sat18-strips-p01,0,False,84,1459,2877,4458,0,4561,0,0,0,0,0,0,0,,0.0,382.0,382,382,1.33,8.7782,0.0086,0.0038,0.0,0.0,0.0,0.16,10.3066
agricola-sat18-strips-p02,0,False,91,1731,3406,5270,0,5200,0,0,0,0,0,0,0,,0.0,386.0,386,386,1.6495,6.9097,0.0132,0.0041,0.0,0.0,0.0,0.1679,8.7754
agricola-sat18-strips-p03,0,False,98,1852,3672,5670,0,5635,0,0,0,0,0,0,0,,0.0,390.0,390,390,2.2918,12.8723,0.0191,0.0047,0.0,0.0,0.0,0.1677,15.3914
agricola-sat18-strips-p04,0,False,101,2084,4116,6354,0,6251,0,0,1772,0,1356,0,4018,,0.0,576.0,754,576,2.2394,8.919,0.0204,0.0052,0.0,0.2442,0.0,24.5848,35.807
agricola-sat18-strips-p05,0,False,104,2292,4556,7010,0,6854,0,0,3128,0,1356,0,6513,,0.0,580.0,758,580,2.402,14.4616,0.0297,0.0055,0.0,0.2855,0.0,37.9896,54.9307
agricola-sat18-strips-p06,0,False,107,2463,4953,7586,0,7376,0,0,0,0,0,0,0,,0.0,402.0,402,402,2.5982,10.1181,0.028,0.006,0.0,0.0,0.0,0.233,13.0287
agricola-sat18-strips-p07,0,False,110,2654,5330,8162,0,7899,0,0,0,0,0,0,31,,0.0,586.0,586,586,2.8087,16.5751,0.0419,0.0066,0.0,0.0,0.0,3.0436,22.5247
agricola-sat18-strips-p08,0,False,114,2853,5747,8786,0,8482,0,0,0,0,0,0,65,,0.0,590.0,590,590,3.2518,17.6534,0.0385,0.0072,0.0,0.0,0.0,4.2979,25.2997
agricola-sat18-strips-p09,0,False,116,3332,6726,10252,0,9668,0,0,0,0,0,0,25,,0.0,594.0,594,594,3.2209,13.1603,0.0593,0.0082,0.0,0.0,0.0,4.1397,20.6436
agricola-sat18-strips-p10,0,False,120,3271,6635,10108,0,9740,0,0,0,0,0,0,19,,0.0,598.0,598,598,3.4099,15.0552,0.0507,0.0083,0.0,0.0,0.0,4.6356,23.2187
agricola-sat18-strips-p11,0,False,55,636,1222,1963,0,2201,0,0,8882,0,6061,0,31355,,0.0,283.0,503,283,0.2014,0.2187,0.0049,0.0022,0.0,0.6579,0.0,41.7546,42.1868
agricola-sat18-strips-p12,2,False,60,725,1402,2243,0,2466,0,0,58250,0,49212,0,164927,,0.0,286.0,507,287,0.2555,0.2624,0.0064,0.0026,0.0,7.3626,0.0,899.5253,900.0664
agricola-sat18-strips-p13,0,False,68,802,1582,2513,0,2758,0,0,93,0,45,0,0,,0.0,276.0,330,276,0.3139,0.3275,0.0087,0.0027,0.0,0.0046,0.0,0.3511,1.0099
agricola-sat18-strips-p14,0,False,73,996,1974,3110,0,3361,0,0,506,0,282,0,107,,0.0,279.0,335,279,0.5204,0.6813,0.0169,0.0032,0.0,0.0312,0.0,0.8337,2.066
agricola-sat18-strips-p15,0,False,75,1090,2167,3405,0,3660,0,0,1172,0,678,0,490,,0.0,288.0,402,288,0.5691,0.8262,0.0168,0.0032,0.0,0.0881,0.0,1.5865,3.0135
agricola-sat18-strips-p16,2,False,78,1221,2421,3798,0,4063,0,0,66840,0,51556,0,75255,,0.0,295.0,526,297,0.6257,0.9253,0.0193,0.0034,0.0,11.9178,0.0,898.4979,900.1051
agricola-sat18-strips-p17,0,False,82,1396,2800,4363,0,4672,0,0,2882,0,1434,0,2327,,0.0,415.0,591,415,1.181,1.5959,0.025,0.0041,0.0,0.2613,0.0,8.1717,10.9956
agricola-sat18-strips-p18,0,False,86,1501,3023,4699,0,5025,0,0,338,0,115,0,0,,0.0,420.0,595,420,1.0253,2.068,0.0328,0.0044,0.0,0.022,0.0,0.8408,3.9904
agricola-sat18-strips-p19,0,False,88,1604,3226,5013,0,5369,0,0,46083,0,40409,0,29420,,0.0,428.0,689,428,1.1036,2.0602,0.0336,0.0048,0.0,10.4418,0.0,661.9492,665.1715
agricola-sat18-strips-p20,2,False,91,1746,3512,5449,0,5819,0,0,60917,0,33539,0,120602,,0.0,432.0,783,433,1.1865,2.3177,0.0382,0.005,0.0,9.837,0.0,896.4684,900.0438
airport-p01-airport1-p1,0,True,0,3,27,62,0,91,0,0,0,0,1,0,0,,0.0,8.0,8,8,0.0047,0.0001,0.0,0.001,0.0,0.0,0.0,0.0013,0.0076
airport-p02-airport1-p1,0,True,0,4,31,68,0,101,0,0,0,0,0,0,0,,0.0,9.0,9,9,0.0049,0.0001,0.0,0.001,0.0,0.0,0.0,0.003,0.0095
airport-p03-airport1-p2,0,True,0,7,57,126,0,194,0,0,0,0,0,0,0,,0.0,17.0,17,17,0.0054,0.0002,0.0,0.0011,0.0,0.0,0.0,0.0031,0.0102
airport-p04-airport2-p1,0,True,0,7,65,150,0,226,0,0,0,0,1,0,0,,0.0,20.0,20,20,0.0054,0.0003,0.0,0.0013,0.0,0.0,0.0,0.0015,0.0089
airport-p05-airport2-p1,0,True,1,10,71,160,0,303,0,0,0,0,0,0,0,,0.0,21.0,21,21,0.0059,0.0004,0.0001,0.001,0.0,0.0,0.0,0.0032,0.011
airport-p06-airport2-p2,0,True,1,17,136,305,0,527,0,0,0,0,0,0,0,,0.0,41.0,41,41,0.0069,0.0008,0.0002,0.0013,0.0,0.0,0.0,0.0034,0.0131
airport-p07-airport2-p2,0,True,1,17,135,302,0,527,0,0,0,0,0,0,0,,0.0,41.0,41,41,0.0106,0.0008,0.0002,0.0011,0.0,0.0,0.0,0.0033,0.0165
airport-p08-airport2-p3,0,True,2,27,206,444,0,814,0,0,0,0,0,0,0,,0.0,62.0,62,62,0.0126,0.0015,0.0004,0.0015,0.0,0.0,0.0,0.0036,0.0202
airport-p09-airport2-p4,0,True,2,33,234,504,0,915,0,0,0,0,0,0,0,,0.0,71.0,71,71,0.0149,0.0021,0.0005,0.0016,0.0,0.0,0.0,0.0038,0.0233
airport-p10-airport3-p1,0,True,0,5,59,136,0,208,0,0,0,0,1,0,0,,0.0,18.0,18,18,0.0056,0.0003,0.0,0.0013,0.0,0.0,0.0,0.0014,0.0091
airport-p11-airport3-p1,0,True,1,10,73,164,0,313,0,0,0,0,0,0,0,,0.0,21.0,21,21,0.0199,0.0005,0.0001,0.0011,0.0,0.0,0.0,0.0032,0.025
airport-p12-airport3-p2,0,True,1,15,132,297,0,521,0,0,0,0,0,0,0,,0.0,39.0,39,39,0.0101,0.0009,0.0002,0.0012,0.0,0.0,0.0,0.0033,0.0161
airport-p13-airport3-p2,0,True,1,13,123,276,0,481,0,0,0,0,0,0,0,,0.0,37.0,37,37,0.0065,0.0008,0.0002,0.0012,0.0,0.0,0.0,0.0034,0.0125
airport-p14-airport3-p3,0,True,2,25,205,443,0,818,0,0,0,0,0,0,0,,0.0,60.0,60,60,0.0092,0.0018,0.0004,0.0013,0.0,0.0,0.0,0.0036,0.0168
airport-p15-airport3-p3,0,True,2,23,197,425,0,783,0,0,0,0,0,0,0,,0.0,58.0,58,58,0.008,0.0017,0.0004,0.0012,0.0,0.0,0.0,0.0036,0.0153
airport-p16-airport3-p4,0,True,3,33,270,571,0,1080,0,0,0,0,0,0,0,,0.0,79.0,79,79,0.0096,0.0028,0.0007,0.0015,0.0,0.0,0.0,0.004,0.019
airport-p17-airport3-p5,0,True,5,41,309,648,0,1195,0,0,0,0,0,0,0,,0.0,88.0,88,88,0.0131,0.0037,0.0009,0.0015,0.0,0.0,0.0,0.0044,0.024
airport-p18-airport3-p6,0,True,6,49,376,780,0,1459,0,0,0,0,0,0,0,,0.0,107.0,107,107,0.0145,0.0057,0.0012,0.0017,0.0,0.0,0.0,0.0047,0.0283
airport-p19-airport3-p6,0,True,4,39,315,669,0,1189,0,0,0,0,0,0,0,,0.0,90.0,90,90,0.0126,0.0036,0.0009,0.0017,0.0,0.0,0.0,0.0045,0.0238
airport-p20-airport3-p7,0,True,6,54,400,833,0,1566,0,0,0,0,0,0,0,,0.0,115.0,115,115,0.0161,0.0061,0.0015,0.0019,0.0,0.0,0.0,0.0047,0.0309
airport-p21-airport4halfMUC-p2,0,True,5,49,348,783,0,1391,0,0,0,0,0,0,0,,0.0,101.0,101,101,0.0224,0.0124,0.0015,0.0018,0.0,0.0,0.0,0.0038,0.0424
airport-p22-airport4halfMUC-p3,0,True,5,53,495,1087,0,1900,0,0,0,0,0,0,0,,0.0,148.0,148,148,0.033,0.0219,0.0035,0.0026,0.0,0.0,0.0,0.0036,0.0652
airport-p23-airport4halfMUC-p4,0,True,16,73,597,1284,0,2045,0,0,0,0,0,0,0,,0.0,168.0,168,168,0.046,0.0389,0.0036,0.0026,0.0,0.0,0.0,0.0046,0.0966
airport-p24-airport4halfMUC-p4,0,True,8,75,556,1202,0,2226,0,0,0,0,0,0,0,,0.0,162.0,162,162,0.0604,0.0453,0.0042,0.0029,0.0,0.0,0.0,0.0041,0.1178
airport-p25-airport4halfMUC-p5,0,True,9,83,716,1525,0,2798,0,0,0,0,0,0,0,,0.0,212.0,212,212,0.0773,0.063,0.0073,0.0033,0.0,0.0,0.0,0.0044,0.1565
airport-p26-airport4halfMUC-p6,0,True,19,91,771,1631,0,2749,0,0,0,0,0,0,0,,0.0,220.0,220,220,0.1009,0.0878,0.0073,0.0036,0.0,0.0,0.0,0.0051,0.2058
airport-p27-airport4halfMUC-p6,0,True,11,125,848,1799,0,3440,0,0,0,0,0,0,0,,0.0,246.0,246,246,0.1207,0.0994,0.008,0.0043,0.0,0.0,0.0,0.005,0.2386
