Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p01,0,False,60,523,1010,1631,98,1882,3545,0,0,0,0,0,0,,0.0,142.0,142,142,0.5235,0.0928,0.0021,0.0509,0.0,0.0,0.0,0.1282,0.8011
agricola-opt18-strips-p02,0,False,63,612,1177,1890,101,2116,4186,0,0,0,0,0,0,,0.0,142.0,142,142,0.6479,0.2621,0.0029,0.0555,0.0,0.0,0.0,0.1652,1.1391
agricola-opt18-strips-p03,0,False,66,723,1373,2200,104,2434,4961,0,0,0,0,0,104,,0.0,204.0,262,204,0.6495,0.3552,0.0036,0.0488,0.0,0.0,0.0,1.2,2.2643
agricola-opt18-strips-p04,0,False,67,592,1146,1847,109,2096,4010,0,0,0,0,0,0,,0.0,146.0,146,146,0.5508,0.1479,0.0032,0.0878,0.0,0.0,0.0,0.1531,0.9468
agricola-opt18-strips-p05,0,False,69,728,1401,2241,112,2466,4975,0,0,0,0,0,0,,0.0,208.0,266,208,0.6261,0.2674,0.0048,0.0565,0.0,0.0,0.0,0.9878,1.9492
agricola-opt18-strips-p06,0,False,72,796,1523,2434,115,2648,5481,0,0,0,0,0,0,,0.0,206.0,206,206,1.0315,0.5713,0.0045,0.0524,0.0,0.0,0.0,0.2013,1.8702
agricola-opt18-strips-p07,0,False,74,697,1347,2166,122,2443,4722,0,0,0,0,0,486,,0.0,212.0,270,212,0.6345,0.2071,0.0048,0.053,0.0,0.0,0.0,2.1741,3.079
agricola-opt18-strips-p08,0,False,78,799,1567,2491,125,2737,5587,0,0,0,0,0,0,,0.0,150.0,150,150,0.7488,0.3524,0.0052,0.0734,0.0,0.0,0.0,0.5005,1.6897
agricola-opt18-strips-p09,0,False,80,895,1747,2770,128,3009,6287,0,0,0,0,0,0,,0.0,150.0,150,150,1.1665,0.6402,0.0053,0.0554,0.0,0.0,0.0,0.1955,2.074
agricola-opt18-strips-p10,0,False,77,754,1483,2367,130,2652,5163,0,0,0,0,0,0,,0.0,154.0,154,154,0.6292,0.2391,0.0057,0.0636,0.0,0.0,0.0,0.433,1.3763
agricola-opt18-strips-p11,0,False,80,911,1773,2817,133,3047,6288,0,0,0,0,0,0,,0.0,216.0,274,216,0.7073,0.3619,0.0068,0.0503,0.0,0.0,0.0,1.1615,2.2959
agricola-opt18-strips-p12,0,False,84,1002,1962,3100,136,3339,7027,0,0,0,0,0,0,,0.0,214.0,214,214,0.8734,0.7875,0.0076,0.0484,0.0,0.0,0.0,0.2003,1.9285
agricola-opt18-strips-p13,0,False,81,852,1670,2660,138,2959,5820,0,0,0,0,0,0,,0.0,220.0,278,220,0.8659,0.2428,0.0078,0.0486,0.0,0.0,0.0,1.0067,2.177
agricola-opt18-strips-p14,0,False,84,978,1945,3064,141,3334,6933,0,0,0,0,0,0,,0.0,158.0,158,158,0.8365,0.4315,0.0072,0.0488,0.0,0.0,0.0,0.2044,1.537
agricola-opt18-strips-p15,0,False,87,1081,2133,3358,144,3596,7666,0,0,0,0,0,0,,0.0,158.0,158,158,1.2501,0.8539,0.0077,0.0507,0.0,0.0,0.0,0.2071,2.593
agricola-opt18-strips-p16,0,False,83,909,1796,2851,146,3173,6283,0,0,0,0,0,0,,0.0,222.0,222,222,0.278,0.2984,0.0073,0.0048,0.0,0.0,0.0,0.7358,1.3296
agricola-opt18-strips-p17,0,False,86,1065,2118,3332,149,3592,7514,0,0,0,0,0,0,,0.0,162.0,162,162,0.4336,0.513,0.0113,0.0052,0.0,0.0,0.0,0.1738,1.1457
agricola-opt18-strips-p18,0,False,89,1197,2377,3726,152,4001,8569,0,0,0,0,0,0,,0.0,222.0,222,222,0.6377,1.0709,0.0109,0.0057,0.0,0.0,0.0,0.9639,2.7017
agricola-opt18-strips-p19,0,False,86,992,1982,3128,154,3489,6880,0,0,0,0,0,0,,0.0,226.0,226,226,0.3144,0.3471,0.0115,0.005,0.0,0.0,0.0,0.1753,0.8591
agricola-opt18-strips-p20,0,False,89,1152,2310,3619,157,3907,8175,0,0,0,0,0,0,,0.0,166.0,166,166,0.5265,0.6341,0.008,0.0058,0.0,0.0,0.0,0.1976,1.3814
agricola-sat18-strips-p01,0,False,84,1459,2877,4458,122,4561,10758,0,0,0,0,0,0,,0.0,382.0,382,382,1.3727,8.7872,0.0087,0.0066,0.0,0.0,0.0,0.2136,10.4139
