Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p01,0,False,60,523,1010,1631,98,1882,3467,0,0,,,,0,,,142.0,1e+20,142,0.1348,0.098,0.0,0.0052,0.0,0.0,,0.2553,0.4968
agricola-opt18-strips-p02,0,False,63,612,1177,1890,101,2116,4128,0,0,,,,0,,,142.0,1e+20,142,0.2006,0.2597,0.0,0.0105,0.0,0.0,,0.2841,0.7613
agricola-opt18-strips-p03,0,False,66,723,1373,2200,104,2434,4886,0,0,,,,2306,,,204.0,1e+20,204,0.2878,0.3943,0.0,0.0052,0.0,0.0,,4.707,5.4002
agricola-opt18-strips-p04,0,False,67,592,1146,1847,109,2096,3933,0,0,,,,0,,,146.0,1e+20,146,0.2437,0.1578,0.0,0.0284,0.0,0.0,,0.2488,0.6831
agricola-opt18-strips-p05,0,False,69,728,1401,2241,112,2466,4894,0,0,,,,4613,,,208.0,1e+20,208,0.2542,0.2705,0.0,0.0081,0.0,0.0,,10.573,11.1104
agricola-opt18-strips-p06,0,False,72,796,1523,2434,115,2648,5412,0,0,,,,838,,,206.0,1e+20,206,0.3628,0.5688,0.0,0.0039,0.0,0.0,,2.2239,3.173
agricola-opt18-strips-p07,0,False,74,697,1347,2166,122,2443,4624,0,0,,,,2120,,,212.0,1e+20,212,0.1969,0.2028,0.0,0.0049,0.0,0.0,,4.08,4.4901
agricola-opt18-strips-p08,0,False,78,799,1567,2491,125,2737,5493,0,0,,,,0,,,150.0,1e+20,150,0.3061,0.354,0.0,0.0062,0.0,0.0,,0.4208,1.0929
agricola-opt18-strips-p09,0,False,80,895,1747,2770,128,3009,6201,0,0,,,,0,,,150.0,1e+20,150,0.4444,0.6438,0.0,0.0064,0.0,0.0,,0.3273,1.4395
agricola-opt18-strips-p10,0,False,77,754,1483,2367,130,2652,5053,0,0,,,,0,,,154.0,1e+20,154,0.2352,0.2354,0.0,0.0204,0.0,0.0,,0.2662,0.764
