Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p01,0,False,60,523,1010,1631,1057,1882,6907,0,0,0,0,0,0,,0.0,142.0,142,142,0.5668,0.1048,0.0023,0.1039,0.0,0.0,0.0,0.1787,0.9606
agricola-opt18-strips-p02,0,False,63,612,1177,1890,1144,2116,8153,0,0,0,0,0,0,,0.0,142.0,142,142,0.6356,0.2612,0.0029,0.056,0.0,0.0,0.0,0.158,1.1194
agricola-opt18-strips-p03,0,False,66,723,1373,2200,1260,2434,9395,0,0,0,0,0,135,,0.0,204.0,262,204,0.7542,0.3812,0.0039,0.0544,0.0,0.0,0.0,2.1326,3.334
agricola-opt18-strips-p04,0,False,67,592,1146,1847,1246,2096,8426,0,0,0,0,0,0,,0.0,146.0,146,146,0.6021,0.1614,0.003,0.0592,0.0,0.0,0.0,0.1629,0.9933
agricola-opt18-strips-p05,0,False,69,728,1401,2241,1338,2466,9768,0,0,0,0,0,0,,0.0,208.0,266,208,0.703,0.2687,0.0049,0.0566,0.0,0.0,0.0,1.5042,2.5442
agricola-opt18-strips-p06,0,False,72,796,1523,2434,1413,2648,10719,0,0,0,0,0,0,,0.0,206.0,206,206,0.8154,0.5693,0.0045,0.363,0.0,0.0,0.0,0.2168,1.9788
agricola-opt18-strips-p07,0,False,74,697,1347,2166,1483,2443,10375,0,0,0,0,0,647,,0.0,212.0,270,212,0.9384,0.2076,0.0048,0.0552,0.0,0.0,0.0,5.4216,6.6332
agricola-opt18-strips-p08,0,False,78,799,1567,2491,1568,2737,11587,0,0,0,0,0,0,,0.0,150.0,150,150,1.0255,0.3528,0.0045,0.0561,0.0,0.0,0.0,0.2151,1.6617
agricola-opt18-strips-p09,0,False,80,895,1747,2770,1708,3009,13075,0,0,0,0,0,0,,0.0,150.0,150,150,0.8813,0.6377,0.0054,0.0572,0.0,0.0,0.0,0.2135,1.8066
agricola-opt18-strips-p10,0,False,77,754,1483,2367,1739,2652,12891,0,0,0,0,0,0,,0.0,154.0,154,154,1.166,0.2411,0.0058,0.0562,0.0,0.0,0.0,0.2258,1.701
agricola-opt18-strips-p11,0,False,80,911,1773,2817,1872,3047,15283,0,0,0,0,0,51,,0.0,216.0,274,216,0.8137,0.3934,0.0074,0.0567,0.0,0.0,0.0,3.7347,5.0151
agricola-opt18-strips-p12,0,False,84,1002,1962,3100,2066,3339,17189,0,0,0,0,0,0,,0.0,214.0,214,214,0.94,0.8598,0.0093,0.0583,0.0,0.0,0.0,0.2497,2.129
agricola-opt18-strips-p13,0,False,81,852,1670,2660,2018,2959,15753,0,0,0,0,0,111,,0.0,220.0,278,220,0.7,0.2639,0.0086,0.0581,0.0,0.0,0.0,4.0686,5.1056
agricola-opt18-strips-p14,0,False,84,978,1945,3064,2087,3334,16445,0,0,0,0,0,0,,0.0,158.0,158,158,0.8446,0.468,0.0077,0.0574,0.0,0.0,0.0,0.2503,1.6372
agricola-opt18-strips-p15,0,False,87,1081,2133,3358,2218,3596,18293,0,0,0,0,0,0,,0.0,158.0,158,158,1.0063,0.9339,0.0093,0.0614,0.0,0.0,0.0,0.2811,2.3053
agricola-opt18-strips-p16,0,False,83,909,1796,2851,2218,3173,17895,0,0,0,0,0,0,,0.0,222.0,222,222,0.2729,0.2956,0.0072,0.0104,0.0,0.0,0.0,1.9803,2.5716
agricola-opt18-strips-p17,0,False,86,1065,2118,3332,2241,3592,18432,0,0,0,0,0,0,,0.0,162.0,162,162,0.6965,0.5113,0.0101,0.0112,0.0,0.0,0.0,0.2286,1.4666
agricola-opt18-strips-p18,0,False,89,1197,2377,3726,2542,4001,21716,0,0,0,0,0,0,,0.0,222.0,222,222,0.6191,1.0705,0.011,0.0127,0.0,0.0,0.0,4.0957,5.8217
agricola-opt18-strips-p19,0,False,86,992,1982,3128,2509,3489,20442,0,0,0,0,0,0,,0.0,226.0,226,226,0.3102,0.3474,0.0115,0.0121,0.0,0.0,0.0,0.4103,1.0976
agricola-opt18-strips-p20,0,False,89,1152,2310,3619,2617,3907,22217,0,0,0,0,0,0,,0.0,166.0,166,166,0.4696,0.6224,0.0079,0.0123,0.0,0.0,0.0,0.2905,1.4126
agricola-sat18-strips-p01,0,False,84,1459,2877,4458,2000,4561,19951,0,0,0,0,0,0,,0.0,382.0,382,382,1.8758,9.0009,0.0081,0.0117,0.0,0.0,0.0,0.2495,11.1716
agricola-sat18-strips-p02,0,False,91,1731,3406,5270,2265,5200,24299,0,0,0,0,0,0,,0.0,386.0,386,386,1.6913,6.8905,0.0126,0.6029,0.0,0.0,0.0,0.2901,9.5191
agricola-sat18-strips-p03,0,False,98,1852,3672,5670,2704,5635,29687,0,0,0,0,0,0,,0.0,390.0,390,390,2.0098,12.9804,0.0192,0.0163,0.0,0.0,0.0,0.3502,15.412
agricola-sat18-strips-p04,0,False,101,2084,4116,6354,2848,6251,31163,0,0,0,0,0,2,,0.0,576.0,754,576,2.2014,8.9242,0.0213,0.0179,0.0,0.0,0.0,18.7069,29.9116
agricola-sat18-strips-p05,0,False,104,2292,4556,7010,3356,6854,38993,0,0,0,0,0,0,,0.0,580.0,758,580,2.3999,14.3657,0.0307,0.0207,0.0,0.0,0.0,29.9989,46.8589
agricola-sat18-strips-p06,0,False,107,2463,4953,7586,3586,7376,41922,0,0,0,0,0,0,,0.0,402.0,402,402,2.8594,10.1297,0.0278,0.0219,0.0,0.0,0.0,0.5011,13.5863
agricola-sat18-strips-p07,0,False,110,2654,5330,8162,3995,7899,48695,0,0,0,0,0,0,,0.0,586.0,586,586,3.0965,16.7375,0.0403,0.0267,0.0,0.0,0.0,1.4955,21.4461
agricola-sat18-strips-p08,0,False,114,2853,5747,8786,4410,8482,55287,0,0,0,0,0,5,,0.0,590.0,590,590,3.0202,17.5948,0.0386,0.0289,0.0,0.0,0.0,27.454,48.1895
agricola-sat18-strips-p09,0,False,116,3332,6726,10252,4759,9668,62526,0,0,0,0,0,0,,0.0,594.0,594,594,3.4992,13.0964,0.0613,0.0329,0.0,0.0,0.0,1.3126,18.0592
agricola-sat18-strips-p10,0,False,120,3271,6635,10108,5381,9740,73807,0,0,0,0,0,0,,0.0,598.0,598,598,3.401,15.0084,0.0505,0.0361,0.0,0.0,0.0,4.343,22.9002
agricola-sat18-strips-p11,0,False,55,636,1222,1963,1166,2201,8306,0,0,0,0,0,4464,,0.0,283.0,503,283,0.2022,0.2209,0.005,0.0059,0.0,0.0,0.0,16.5121,16.9502
agricola-sat18-strips-p12,0,False,60,725,1402,2243,1346,2466,9738,0,0,0,0,0,4410,,0.0,287.0,507,287,0.2494,0.2643,0.0063,0.0075,0.0,0.0,0.0,22.9225,23.4555
