Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p01,0,False,60,523,1010,1631,1057,1882,6829,0,0,,,,0,,,142.0,1e+20,142,0.1379,0.0999,0.0,0.0059,0.0,0.0,,0.4103,0.6577
agricola-opt18-strips-p02,0,False,63,612,1177,1890,1144,2116,8095,0,0,,,,0,,,142.0,1e+20,142,0.1903,0.2586,0.0,0.0059,0.0,0.0,,0.333,0.7942
agricola-opt18-strips-p03,0,False,66,723,1373,2200,1260,2434,9320,0,0,,,,833,,,204.0,1e+20,204,0.2895,0.3913,0.0,0.0069,0.0,0.0,,3.02,3.7136
agricola-opt18-strips-p04,0,False,67,592,1146,1847,1246,2096,8349,0,0,,,,0,,,146.0,1e+20,146,0.1446,0.1579,0.0,0.0064,0.0,0.0,,0.2091,0.5227
agricola-opt18-strips-p05,0,False,69,728,1401,2241,1338,2466,9687,0,0,,,,2612,,,208.0,1e+20,208,0.2385,0.2703,0.0,0.0082,0.0,0.0,,20.3685,20.89
agricola-opt18-strips-p06,0,False,72,796,1523,2434,1413,2648,10650,0,0,,,,27,,,206.0,1e+20,206,0.3628,0.5718,0.0,0.0081,0.0,0.0,,1.2308,2.1868
agricola-opt18-strips-p07,0,False,74,697,1347,2166,1483,2443,10277,0,0,,,,848,,,212.0,1e+20,212,0.1871,0.2034,0.0,0.0075,0.0,0.0,,3.1175,3.5212
agricola-opt18-strips-p08,0,False,78,799,1567,2491,1568,2737,11493,0,0,,,,0,,,150.0,1e+20,150,0.304,0.3554,0.0,0.0074,0.0,0.0,,0.3857,1.0584
agricola-opt18-strips-p09,0,False,80,895,1747,2770,1708,3009,12989,0,0,,,,0,,,150.0,1e+20,150,0.4405,0.6343,0.0,0.009,0.0,0.0,,0.2508,1.3519
agricola-opt18-strips-p10,0,False,77,754,1483,2367,1739,2652,12781,0,0,,,,0,,,154.0,1e+20,154,0.2051,0.2353,0.0,0.0086,0.0,0.0,,0.5159,0.9717
agricola-opt18-strips-p11,0,False,80,911,1773,2817,1872,3047,15188,0,0,,,,2736,,,216.0,1e+20,216,0.3271,0.393,0.0,0.0092,0.0,0.0,,14.8876,15.6291
agricola-opt18-strips-p12,0,False,84,1002,1962,3100,2066,3339,17100,0,0,,,,15,,,214.0,1e+20,214,0.4808,0.854,0.0,0.0123,0.0,0.0,,2.5638,3.9296
agricola-opt18-strips-p13,0,False,81,852,1670,2660,2018,2959,15628,0,0,,,,1246,,,220.0,1e+20,220,0.2372,0.2572,0.0,0.0098,0.0,0.0,,12.8936,13.4055
