Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p01,0,False,60,523,1010,1631,1057,1882,6829,0,0,,,,0,,,142.0,142,142,0.1309,0.0986,0.0023,0.0059,0.0,0.0,,0.1255,0.3669
agricola-opt18-strips-p02,0,False,63,612,1177,1890,1144,2116,8095,0,0,,,,0,,,142.0,142,142,0.1903,0.2585,0.003,0.0064,0.0,0.0,,0.1367,0.6013
agricola-opt18-strips-p03,0,False,66,723,1373,2200,1260,2434,9320,0,0,,,,717,,,204.0,262,204,0.2886,0.3833,0.0035,0.0078,0.0,0.0,,2.3485,3.0427
agricola-opt18-strips-p04,0,False,67,592,1146,1847,1246,2096,8349,0,0,,,,0,,,146.0,146,146,0.1673,0.1613,0.003,0.0074,0.0,0.0,,0.1506,0.4942
agricola-opt18-strips-p05,0,False,69,728,1401,2241,1338,2466,9687,0,0,,,,3778,,,208.0,266,208,0.2568,0.2705,0.0049,0.0089,0.0,0.0,,23.1903,23.7359
agricola-opt18-strips-p06,0,False,72,796,1523,2434,1413,2648,10650,0,0,,,,19,,,206.0,206,206,0.3492,0.567,0.0045,0.0079,0.0,0.0,,1.3006,2.2426
agricola-opt18-strips-p07,0,False,74,697,1347,2166,1483,2443,10277,0,0,,,,811,,,212.0,270,212,0.255,0.2045,0.0043,0.0114,0.0,0.0,,3.6471,4.1279
agricola-opt18-strips-p08,0,False,78,799,1567,2491,1568,2737,11493,0,0,,,,0,,,150.0,150,150,0.2957,0.3514,0.0046,0.0104,0.0,0.0,,0.2572,0.9305
agricola-opt18-strips-p09,0,False,80,895,1747,2770,1708,3009,12989,0,0,,,,0,,,150.0,150,150,0.4543,0.6381,0.0055,0.0098,0.0,0.0,,0.2163,1.3413
agricola-opt18-strips-p10,0,False,77,754,1483,2367,1739,2652,12781,0,0,,,,0,,,154.0,154,154,0.4282,0.235,0.0065,0.0136,0.0,0.0,,0.3174,1.0076
